"","species_common","species_scientific","species_code"
"1","cockle","Clinocardium nutallii","CLAMCK"
"2","macoma spp","Macoma spp","CLMMAC"
"3","steamer clam","Protothaca staminea","CLAMST"
"4","pointed macoma","Macoma inquinata","CLMPOI"
"5","butter clam","Saxidomus gigantea","CLAMBU"
"6","bentnose macoma","Macoma nasuta","CLAMMB"
"7",NA,NA,NA
"8","capax","Tresus capax","CLAMCX"
"9","california sunset clam","Saxidomus nuttalli","CLAMCA"
"10","horse clam","Tresus nuttallii","CLAMHO"
"11","softshell clam","Mya arenaria","CLAMSS"
"12","softshell clam","Mya trunkata","CLAMMYA"
"13","baltic macoma","Macoma balthica","CLAMMB"
"14","hiatella calm","Hiatella sp","CALMHI"
